article,year,sentence,sentiment,confidence
2013/58-pg18.3_001.txt,2013,从建厂初期第一代人的艰苦创业到第一包碱、第一包丝下线，从一个个项目建成投产到顶住国际金融危机压力、行业率先扭亏为盈，从不言回报的加班加点到以集体利益为重的默默奉献，从上市约束的规范管理到严谨有序的稳步改革，从走出混沌的经营低谷到对外贸易重大目标的实现……三友员工恪守“原则、责任、诚信”，从自己做起、从岗位做起，点滴之中践行、约束、修为，创造了卓越业绩，涌现了各类先进典型，成为员工将企业文化付诸实践的具体表现,中性,0.3664
2013/58-pg18.3_002.txt,2013,特别是缘于美国次贷危机的国际金融危机爆发以来，人们对资本主义制度的弊端看得愈加清楚,中性,0.4766
2013/58-pg18.3_003.txt,2013,复苏态势不尽相同 全球市场争夺激烈（2013年度特别报道） ——2013年世界经济篇（上） 作者：罗春华;强薇;彭敏;刘慧 时间：2013-12-23 制 图：刘 慧 回望2013年，世界经济呈现缓慢复苏态势，国际金融危机的后续效应依然存在,中性,0.4998
2013/58-pg18.3_003.txt,2013,据统计，国际金融危机以来，美日欧三大经济体通过量化宽松政策共向市场投放了超过5万亿美元的资本，其中4万亿美元流向了新兴市场国家,中性,0.4736
2013/58-pg18.3_003.txt,2013,WTO发布的贸易监督报告显示，2012年10月至2013年5月，各成员共采取109项贸易限制措施，其中新贸易限制措施数量达到国际金融危机以来的最高值，以反倾销调查为主的贸易救济调查仍是贸易限制措施的主要手段,中性,0.4508
2013/58-pg18.3_004.txt,2013,美国最终退出量化宽松仍需时日 国际社会评价美联储小幅削减资产购买规模决定 作者：吴成良;韩硕;吴刚;刘军国;颜欢;强薇;彭敏 时间：2013-12-21 自次贷危机出现并引发国际金融危机以来，美联储先后实施了三轮量化宽松政策（简称QE）,中性,0.4907
2013/58-pg18.3_005.txt,2013,以国际金融危机为转折，支撑科技创新企业发展的“要素红利”正在逐步减少，以低成本为主的发展模式已走到尽头，生产要素成本上升也为科技创新企业带来挑战,中性,0.4493
2013/58-pg18.3_006.txt,2013,改革开放以来，我们坚持社会主义市场经济的改革方向，充分发挥市场配置资源的作用，不断健全宏观调控体系，调整完善宏观经济政策，成功应对了短缺经济条件下投资消费双膨胀导致的经济过热和严重通货膨胀、有效需求不足导致的经济下滑和通货紧缩趋势、亚洲金融危机和国际金融危机等造成的严重冲击，以及重大疫情和严重自然灾害等重大突发事件，促进了经济持续健康发展，避免了经济大起大落，人民生活水平大幅提升，综合国力和国际竞争力显著增强，社会主义现代化建设取得了新的历史性成就,中性,0.4402
2013/58-pg18.3_007.txt,2013,经济学家哈祖斯是少数准确预测到2008年国际金融危机的人,中性,0.4391
2013/58-pg18.3_008.txt,2013,从国际经验来看，在欧美发达金融市场国家，存款保险制度已普遍推行，国际金融危机和欧债危机期间，正是因为有此作为保障，银行才未发生全面挤兑现象,中性,0.5049
2013/58-pg18.3_009.txt,2013,2008年爆发的国际金融危机之后，大国关系开始发生变化,中性,0.4745
2013/58-pg18.3_010.txt,2013,富国强民是主线 效果要靠执行力度 今年俄罗斯的总体经济形势并不乐观，前10个月俄经济增速仅为1.4%，是国际金融危机以来的“最差答卷”,中性,0.5055
2013/58-pg18.3_011.txt,2013,会议指出，观察当前和今后世界经济形势，必须联系国际金融危机的大背景,中性,0.4383
2013/58-pg18.3_011.txt,2013,国际金融危机影响具有长期性，国际市场争夺更趋激烈，必须顺势而为、转变思路,中性,0.4429
2013/58-pg18.3_012.txt,2013,如2008年在国际金融危机中，一大批相关企业通过期货市场套期保值交易转移了风险,負面,0.3825
2013/58-pg18.3_013.txt,2013,2008年，由于国际金融危机冲击，大豆期现货价格跌幅达40%以上，国内大批企业在采购国际大豆时，通过大连期货市场提前卖出相关产品，规避了价格下跌风险,中性,0.4214
2013/58-pg18.3_014.txt,2013,中国应对国际金融危机的骄人成绩给世界带来希望，勤劳坚韧的“中国工人”曾被美国《时代》周刊列为年度人物,中性,0.4427
2013/58-pg18.3_014.txt,2013,底特律为数众多的汽车业工人素质相对较低，人才储备不足制约了这座城市的转型，国际金融危机甚至将其推入破产境地,中性,0.3995
2013/58-pg18.3_015.txt,2013,为了避免华尔街再次出现需要政府救助的局面，沃尔克在2008年国际金融危机爆发后提出该规则，认为坐享联邦存款担保和贴现融资好处的金融机构不应从事可能引发政府救助的冒险行为,中性,0.4168
2013/58-pg18.3_016.txt,2013,实际上，国际金融危机爆发后，中欧贸易徘徊不前，中英贸易却异军突起，领跑欧洲各国，贸易额从2009年的392亿美元增至2012年的631亿美元，年均增长17%，中国已成为英国在欧盟外的第二大贸易伙伴，仅次于美国,中性,0.5230
2013/58-pg18.3_016.txt,2013,托马斯告诉本报记者，来自中国的大量资金注入，为正在从金融危机中逐步恢复过来的英国经济起到强有力的拉动作用,中性,0.4130
2013/59-pg19.1_001.txt,2013,然与之相对应的是，2008年国际金融危机以来，美国经济增长基本徘徊在2%的低位,中性,0.4748
2013/59-pg19.1_002.txt,2013,即使是在国际金融危机的压力下，我国版权相关产业年均增长率也接近20%,中性,0.4313
2013/59-pg19.1_003.txt,2013,在国际金融危机期间，金融机构高管的薪酬在欧美国家成为众矢之的，在我国也引起了广泛关注,中性,0.4316
2013/59-pg19.1_003.txt,2013,记者：2008年国际金融危机，让欧美发达国家金融机构发展和资产管理方面暴露出很多问题，汇金公司在十年发展历程中探索出了以市场化为核心的金融机构管理模式，这种模式有哪些特点和优势，未来将朝什么方向发展？ 丁学东：汇金公司根据国务院授权，主要行使两大职能：一是国有金融机构注资改制平台,中性,0.4622
2013/59-pg19.1_004.txt,2013,2008年国际金融危机爆发后，美国三大汽车巨头中的两家——通用和克莱斯勒陷入困境,中性,0.3773
2013/59-pg19.1_004.txt,2013,而金融危机发生以来，美国汽车业共计创造37.2万个新增就业岗位,中性,0.4897
2013/59-pg19.1_005.txt,2013,齐心建设亚洲的世纪 韩国中央日报总编辑 金钟赫 伊拉克战争和国际金融危机的爆发，让美国世界警察的角色发生了变化,中性,0.4817
2013/59-pg19.1_005.txt,2013,亚洲经历了两次金融危机，中国都起到了稳定性作用,中性,0.4649
2013/59-pg19.1_006.txt,2013,自2008年国际金融危机爆发以来，中国政府积极推动人民币国际化进程，近两年不断提速,中性,0.4962
2013/59-pg19.1_007.txt,2013,南非国际问题研究所所长伊丽莎白·斯蒂诺珀洛斯在其新书《发展合作与新兴国家：旧模式还是新伙伴》中指出，2008年国际金融危机爆发以来，新兴市场国家经济实力不断增长，全球地缘经济版图的改变加快了冷战后经济体系的变迁,中性,0.5183
2013/59-pg19.1_008.txt,2013,2008年国际金融危机爆发后，人们更加清晰地看到，以某个强国为主导的国际体系已落后于时代，经济一体化深入发展呼唤更加均衡的治理结构,中性,0.5071
2013/59-pg19.1_009.txt,2013,国际金融危机以来，世界经济深度调整，竞争更趋激烈，主要发达国家正在推动新一轮贸易投资自由化谈判,中性,0.4950
2013/59-pg19.1_010.txt,2013,事实上，无论是1997年的亚洲金融危机，还是2008年的美国次贷危机，所谓最有信誉的这三大评级机构都未能“先知先觉”,中性,0.3997
2013/59-pg19.1_010.txt,2013,恰恰相反，就在2008年国际金融危机爆发前，三大评级机构却无一例外地给予美国国际集团及其金融衍生产品“AAA”的最高评级,中性,0.4027
